Hours,Blank 1,Blank 2,Blank 3,Blank 4,TS559 1,TS559 2,TS559 3,TS559 4,TK0887 1,TK0887 2,TK0887 3,TK0887 4,TK1898 1,TK1898 2,TK1898 3,TK1898 4,TK2143 1,TK2143 2,TK2143 3,TK2143 4,TK0887/TK1898 1,TK0887/TK1898 2,TK0887/TK1898 3,TK0887/TK1898 4,TK0887/TK2143 1,TK0887/TK2143 2,TK0887/TK2143 3,TK0887/TK2143 4,TK1898/TK2143 1,TK1898/TK2143 2,TK1898/TK2143 3,TK1898/TK2143 4,TK0887/TK1898/TK2143 1,TK0887/TK1898/TK2143 2,TK0887/TK1898/TK2143 3,TK0887/TK1898/TK2143 4
0,0.001,-0.035,-0.047,0,-0.003,0.018,-0.017,0,-0.011,-0.011,-0.008,-0.018,0,0.004,-0.015,-0.013,-0.009,-0.015,0.04,0.004,-0.012,-0.007,0.002,0.012,0.003,-0.025,-0.017,-0.009,-0.019,-0.009,-0.02,0.047,0.008,-0.025,-0.001,-0.016
1,-0.023,-0.03,-0.036,-0.051,0.049,0.02,0.023,0.032,0.05,0.034,0.021,0.033,0.061,0.037,0.017,0.02,0.007,0.031,0.022,0.037,0.027,0.017,0.022,0.043,-0.001,0.006,0.006,0.003,0,0.006,0.01,0.073,0.03,-0.003,0.007,0.001
2,-0.043,-0.033,-0.041,-0.035,0.093,0.082,0.074,0.055,0.09,0.086,0.096,0.076,0.056,0.061,0.073,0.091,0.066,0.072,0.069,0.062,0.068,0.08,0.077,0.082,0.037,0.037,0.033,0.035,0.029,0.032,0.039,0.043,0.05,0.021,0.035,0.03
3,-0.045,-0.054,-0.045,-0.034,0.144,0.148,0.133,0.129,0.162,0.158,0.153,0.146,0.168,0.111,0.13,0.145,0.094,0.125,0.121,0.125,0.13,0.14,0.073,0.08,0.07,0.107,0.073,0.08,0.063,0.075,0.079,0.134,0.072,0.053,0.079,0.064
4,-0.045,-0.044,-0.045,-0.035,0.269,0.245,0.252,0.243,0.253,0.256,0.276,0.259,0.239,0.199,0.237,0.247,0.179,0.246,0.231,0.226,0.31,0.225,0.245,0.294,0.133,0.143,0.144,0.153,0.113,0.124,0.137,0.142,0.073,0.088,0.068,0.09
5,-0.042,-0.05,-0.046,-0.036,0.393,0.389,0.409,0.397,0.36,0.35,0.382,0.371,0.316,0.314,0.386,0.404,0.314,0.398,0.399,0.404,0.31,0.324,0.344,0.468,0.232,0.267,0.256,0.274,0.219,0.246,0.26,0.308,0.092,0.092,0.086,0.106
6,-0.043,-0.046,-0.012,-0.031,0.573,0.587,0.599,0.576,0.468,0.468,0.517,0.491,0.475,0.484,0.55,0.571,0.524,0.665,0.673,0.638,0.403,0.422,0.444,0.621,0.404,0.474,0.478,0.504,0.398,0.451,0.476,0.547,0.112,0.103,0.116,0.114
7,-0.042,-0.04,-0.043,-0.033,0.687,0.7,0.704,0.674,0.578,0.567,0.621,0.586,0.584,0.583,0.655,0.659,0.657,0.795,0.802,0.757,0.493,0.487,0.535,0.674,0.559,0.66,0.631,0.661,0.541,0.632,0.658,0.688,0.133,0.112,0.13,0.125
8,-0.04,-0.044,-0.043,-0.031,0.818,0.835,0.825,0.795,0.687,0.66,0.699,0.673,0.714,0.723,0.755,0.768,0.826,0.893,0.936,0.9,0.596,0.583,0.585,0.716,0.758,0.824,0.803,0.835,0.773,0.81,0.86,0.866,0.137,0.134,0.145,0.137
9,-0.036,-0.026,-0.039,-0.025,0.889,0.885,0.881,0.847,0.731,0.697,0.734,0.702,0.809,0.8,0.79,0.794,0.908,0.935,0.979,0.966,0.611,0.586,0.619,0.722,0.86,0.902,0.872,0.897,0.87,0.883,0.928,0.913,0.154,0.142,0.157,0.159
