Hours,Strain,Replicates,OD
0,Blank,1,0.001
1,Blank,1,-0.023
2,Blank,1,-0.043
3,Blank,1,-0.045
4,Blank,1,-0.045
5,Blank,1,-0.042
6,Blank,1,-0.043
7,Blank,1,-0.042
8,Blank,1,-0.04
9,Blank,1,-0.036
10,Blank,1,-0.033
11,Blank,1,-0.032
12,Blank,1,-0.029
13,Blank,1,-0.026
14,Blank,1,-0.025
15,Blank,1,-0.025
16,Blank,1,-0.024
17,Blank,1,-0.023
18,Blank,1,-0.024
19,Blank,1,-0.018
20,Blank,1,-0.019
21,Blank,1,-0.019
22,Blank,1,-0.017
23,Blank,1,-0.013
24,Blank,1,-0.009
25,Blank,1,-0.005
26,Blank,1,-0.003
0,Blank,2,-0.035
1,Blank,2,-0.03
2,Blank,2,-0.033
3,Blank,2,-0.054
4,Blank,2,-0.044
5,Blank,2,-0.05
6,Blank,2,-0.046
7,Blank,2,-0.04
8,Blank,2,-0.044
9,Blank,2,-0.026
10,Blank,2,-0.035
11,Blank,2,-0.037
12,Blank,2,-0.036
13,Blank,2,-0.036
14,Blank,2,0.073
15,Blank,2,-0.028
16,Blank,2,-0.024
17,Blank,2,-0.027
18,Blank,2,-0.026
19,Blank,2,-0.022
20,Blank,2,-0.024
21,Blank,2,-0.016
22,Blank,2,-0.019
23,Blank,2,-0.02
24,Blank,2,-0.013
25,Blank,2,-0.011
26,Blank,2,-0.004
0,Blank,3,-0.047
1,Blank,3,-0.036
2,Blank,3,-0.041
3,Blank,3,-0.045
4,Blank,3,-0.045
5,Blank,3,-0.046
6,Blank,3,-0.012
7,Blank,3,-0.043
8,Blank,3,-0.043
9,Blank,3,-0.039
10,Blank,3,-0.037
11,Blank,3,-0.033
12,Blank,3,-0.033
13,Blank,3,-0.03
14,Blank,3,-0.017
15,Blank,3,-0.026
16,Blank,3,-0.024
17,Blank,3,-0.024
18,Blank,3,-0.022
19,Blank,3,-0.02
20,Blank,3,-0.02
21,Blank,3,-0.019
22,Blank,3,-0.018
23,Blank,3,-0.013
24,Blank,3,-0.01
25,Blank,3,-0.006
26,Blank,3,-0.004
0,Blank,4,0
1,Blank,4,-0.051
2,Blank,4,-0.035
3,Blank,4,-0.034
4,Blank,4,-0.035
5,Blank,4,-0.036
6,Blank,4,-0.031
