Hours,Strain,Replicates,OD
0,Blank,1,0.02
1,Blank,1,-0.04
2,Blank,1,-0.048
3,Blank,1,-0.049
4,Blank,1,-0.047
5,Blank,1,-0.044
6,Blank,1,-0.045
7,Blank,1,-0.044
8,Blank,1,-0.041
9,Blank,1,-0.039
10,Blank,1,-0.028
11,Blank,1,-0.033
12,Blank,1,-0.033
13,Blank,1,-0.031
14,Blank,1,-0.029
15,Blank,1,-0.03
16,Blank,1,-0.027
17,Blank,1,-0.024
18,Blank,1,-0.025
19,Blank,1,-0.024
20,Blank,1,-0.024
21,Blank,1,-0.02
22,Blank,1,-0.023
23,Blank,1,-0.02
24,Blank,1,-0.016
25,Blank,1,-0.014
26,Blank,1,-0.012
0,Blank,2,0.013
1,Blank,2,-0.043
2,Blank,2,-0.046
3,Blank,2,-0.029
4,Blank,2,-0.036
5,Blank,2,-0.039
6,Blank,2,-0.043
7,Blank,2,-0.041
8,Blank,2,-0.037
9,Blank,2,-0.036
10,Blank,2,-0.034
11,Blank,2,-0.031
12,Blank,2,-0.027
13,Blank,2,-0.029
14,Blank,2,-0.027
15,Blank,2,-0.027
16,Blank,2,-0.023
17,Blank,2,-0.021
18,Blank,2,0.01
19,Blank,2,-0.017
20,Blank,2,-0.019
21,Blank,2,-0.017
22,Blank,2,-0.013
23,Blank,2,-0.009
24,Blank,2,-0.008
25,Blank,2,-0.006
26,Blank,2,-0.004
0,Blank,3,0.01
1,Blank,3,-0.041
2,Blank,3,-0.051
3,Blank,3,-0.044
4,Blank,3,-0.044
5,Blank,3,-0.041
6,Blank,3,-0.04
7,Blank,3,-0.038
8,Blank,3,-0.034
9,Blank,3,-0.033
10,Blank,3,-0.024
11,Blank,3,-0.028
12,Blank,3,-0.025
13,Blank,3,-0.031
14,Blank,3,-0.027
15,Blank,3,-0.025
16,Blank,3,-0.025
17,Blank,3,-0.024
18,Blank,3,-0.023
19,Blank,3,-0.016
20,Blank,3,-0.018
21,Blank,3,-0.012
22,Blank,3,-0.011
23,Blank,3,-0.015
24,Blank,3,-0.011
25,Blank,3,-0.003
26,Blank,3,-0.007
0,Blank,4,-0.023
1,Blank,4,-0.034
2,Blank,4,-0.051
3,Blank,4,-0.05
4,Blank,4,-0.04
5,Blank,4,-0.045
6,Blank,4,-0.045
7,Blank,4,-0.042
8,Blank,4,-0.042
9,Blank,4,-0.038
10,Blank,4,-0.036
11,Blank,4,-0.03
12,Blank,4,-0.032
13,Blank,4,-0.031
14,Blank,4,-0.028
15,Blank,4,-0.028
16,Blank,4,-0.024
17,Blank,4,-0.025
18,Blank,4,-0.022
19,Blank,4,-0.021
20,Blank,4,-0.021
21,Blank,4,-0.019
22,Blank,4,-0.02
23,Blank,4,-0.014
24,Blank,4,-0.01
25,Blank,4,-0.006
26,Blank,4,-0.008
0,TS559-Parent Strain,1,0.033
1,TS559-Parent Strain,1,0.009
2,TS559-Parent Strain,1,0.082
3,TS559-Parent Strain,1,0.213
4,TS559-Parent Strain,1,0.435
5,TS559-Parent Strain,1,0.723
6,TS559-Parent Strain,1,1.01
7,TS559-Parent Strain,1,1.068
8,TS559-Parent Strain,1,1.125
9,TS559-Parent Strain,1,1.144
10,TS559-Parent Strain,1,1.084
11,TS559-Parent Strain,1,1.235
12,TS559-Parent Strain,1,1.336
13,TS559-Parent Strain,1,1.343
14,TS559-Parent Strain,1,1.288
15,TS559-Parent Strain,1,1.209
16,TS559-Parent Strain,1,1.136
17,TS559-Parent Strain,1,1.089
18,TS559-Parent Strain,1,1.037
19,TS559-Parent Strain,1,0.998
20,TS559-Parent Strain,1,0.977
21,TS559-Parent Strain,1,0.944
22,TS559-Parent Strain,1,0.939
23,TS559-Parent Strain,1,0.936
24,TS559-Parent Strain,1,0.939
25,TS559-Parent Strain,1,0.944
26,TS559-Parent Strain,1,0.935
0,TS559-Parent Strain,2,0.001
1,TS559-Parent Strain,2,0.004
2,TS559-Parent Strain,2,0.066
3,TS559-Parent Strain,2,0.197
4,TS559-Parent Strain,2,0.412
5,TS559-Parent Strain,2,0.659
6,TS559-Parent Strain,2,0.886
7,TS559-Parent Strain,2,0.982
8,TS559-Parent Strain,2,1.039
9,TS559-Parent Strain,2,1.054
10,TS559-Parent Strain,2,1.083
11,TS559-Parent Strain,2,1.16
12,TS559-Parent Strain,2,1.29
13,TS559-Parent Strain,2,1.225
14,TS559-Parent Strain,2,1.106
15,TS559-Parent Strain,2,1.003
16,TS559-Parent Strain,2,0.906
17,TS559-Parent Strain,2,0.834
18,TS559-Parent Strain,2,0.773
19,TS559-Parent Strain,2,0.721
20,TS559-Parent Strain,2,0.68
21,TS559-Parent Strain,2,0.646
22,TS559-Parent Strain,2,0.619
23,TS559-Parent Strain,2,0.602
24,TS559-Parent Strain,2,0.598
25,TS559-Parent Strain,2,0.576
